positive_skew,negative_skew,YJ
1710,0.370889117,-0.370889117
1262,1.942639867,-1.942639867
1786,0.713837987,-0.713837987
1717,1.577300939,-1.577300939
2198,0.84532965,-0.84532965
1362,1.203565919,-1.203565919
1694,0.521034223,-0.521034223
2090,1.376528489,-1.376528489
1774,1.421207432,-1.421207432
1077,1.530830358,-1.530830358
1040,1.432177676,-1.432177676
2324,0.334779768,-0.334779768
912,1.512616418,-1.512616418
1494,0.8763549,-0.8763549
1253,1.260990021,-1.260990021
854,1.176299659,-1.176299659
1004,1.973393904,-1.973393904
1296,1.042601113,-1.042601113
1114,0.959774944,-0.959774944
1339,1.103288296,-1.103288296
2376,0.901385861,-0.901385861
1108,1.348770988,-1.348770988
1795,0.998046132,-0.998046132
1060,1.102380643,-1.102380643
1060,1.845420522,-1.845420522
1600,0.240361927,-0.240361927
900,1.014367686,-1.014367686
1704,0.301102352,-0.301102352
1600,1.490989686,-1.490989686
520,1.17999361,-1.17999361
1317,1.497016626,-1.497016626
1228,1.974205364,-1.974205364
1234,0.081687772,-0.081687772
1700,1.894146063,-1.894146063
1561,0.32864775,-0.32864775
2452,0.23361921,-0.23361921
1097,1.283912575,-1.283912575
1297,1.68031109,-1.68031109
1057,1.81379443,-1.81379443
1152,1.091492423,-1.091492423
1324,1.063485842,-1.063485842
1328,1.177939332,-1.177939332
884,1.23866033,-1.23866033
938,1.613996542,-1.613996542
1150,1.221505544,-1.221505544
1752,0.969705991,-0.969705991
2149,0.382555751,-0.382555751
1656,0.375586306,-0.375586306
1452,1.088129959,-1.088129959
955,1.870115607,-1.870115607
1470,1.687226601,-1.687226601
1176,1.525083439,-1.525083439
816,1.155481559,-1.155481559
1842,1.644315864,-1.644315864
1360,1.803964847,-1.803964847
1425,1.337279343,-1.337279343
1739,1.062678814,-1.062678814
1720,0.24925206,-0.24925206
2945,0.941141806,-0.941141806
780,1.842225102,-1.842225102
1158,0.319089818,-0.319089818
1111,1.902631614,-1.902631614
1370,0.141946887,-0.141946887
1710,1.855899904,-1.855899904
2034,1.678773758,-1.678773758
2473,0.808808732,-0.808808732
2207,1.79425338,-1.79425338
1479,0.795654691,-0.795654691
747,1.382875199,-1.382875199
2287,1.981109612,-1.981109612
2223,1.280930488,-1.280930488
845,1.080117571,-1.080117571
1718,1.246569705,-1.246569705
1086,1.985662889,-1.985662889
1605,1.320042611,-1.320042611
988,1.37406789,-1.37406789
952,1.8187842,-1.8187842
1285,1.32992294,-1.32992294
1768,1.185857941,-1.185857941
1230,1.692613624,-1.692613624
2142,1.736652182,-1.736652182
1337,1.565603772,-1.565603772
1563,0.44546068,-0.44546068
1065,1.249272798,-1.249272798
1474,1.531253796,-1.531253796
2417,1.629958707,-1.629958707
1560,0.276085732,-0.276085732
1224,0.919633744,-0.919633744
1526,1.440675708,-1.440675708
990,1.764354472,-1.764354472
1040,1.937603545,-1.937603545
1235,1.108898815,-1.108898815
964,1.650018261,-1.650018261
2291,1.10992605,-1.10992605
1786,1.086443025,-1.086443025
1470,1.778492111,-1.778492111
1588,1.201832587,-1.201832587
960,1.860994967,-1.860994967
835,1.935584432,-1.935584432
1225,1.035738855,-1.035738855
1610,1.672580233,-1.672580233
1732,1.102601263,-1.102601263
1535,1.688416153,-1.688416153
1226,0.698848474,-0.698848474
1818,1.161521042,-1.161521042
1992,0.355631621,-0.355631621
1047,1.731725647,-1.731725647
789,1.377004196,-1.377004196
1517,1.012240634,-1.012240634
1844,1.072382253,-1.072382253
1855,1.823299991,-1.823299991
1430,0.741051008,-0.741051008
2696,0.242648297,-0.242648297
2259,1.534151871,-1.534151871
2320,1.875740739,-1.875740739
1458,1.689172593,-1.689172593
1092,1.244584636,-1.244584636
1125,0.606179076,-0.606179076
3222,1.569533393,-1.569533393
1456,0.651654841,-0.651654841
988,1.870383917,-1.870383917
1123,1.969650973,-1.969650973
1080,1.758082817,-1.758082817
1199,1.342505877,-1.342505877
1586,1.295613055,-1.295613055
754,1.976037583,-1.976037583
958,1.849139806,-1.849139806
840,1.570792268,-1.570792268
1348,1.716320786,-1.716320786
1053,1.101036191,-1.101036191
2157,1.409348483,-1.409348483
2054,0.577710596,-0.577710596
1327,1.392635193,-1.392635193
1296,0.36646756,-0.36646756
1721,1.611445663,-1.611445663
1682,1.995471995,-1.995471995
1214,1.554412304,-1.554412304
1959,1.425648171,-1.425648171
1852,1.972287594,-1.972287594
1764,1.319676173,-1.319676173
864,1.219482922,-1.219482922
1734,0.035607567,-0.035607567
1385,1.157844465,-1.157844465
1501,1.20349328,-1.20349328
1728,1.696891265,-1.696891265
1709,0.308946034,-0.308946034
875,1.679628541,-1.679628541
2035,0.802100417,-0.802100417
1080,0.369779558,-0.369779558
1344,1.185293328,-1.185293328
969,1.752243509,-1.752243509
1710,0.525729618,-0.525729618
1993,1.716004471,-1.716004471
1252,1.162779785,-1.162779785
1200,1.81983684,-1.81983684
1096,1.888670044,-1.888670044
1040,1.141095354,-1.141095354
1968,0.957978839,-0.957978839
1947,0.62975498,-0.62975498
2462,0.031055315,-0.031055315
1232,1.320414882,-1.320414882
2668,0.458532333,-0.458532333
1541,0.191649499,-0.191649499
882,1.212383878,-1.212383878
1616,1.790654946,-1.790654946
1355,1.701972725,-1.701972725
1867,1.578452127,-1.578452127
2161,0.713153481,-0.713153481
1720,0.404525682,-0.404525682
1707,1.778834852,-1.778834852
1382,1.492978981,-1.492978981
1656,1.037154587,-1.037154587
1767,1.534038058,-1.534038058
1362,1.860861801,-1.860861801
1651,1.744375576,-1.744375576
2158,1.724106669,-1.724106669
2060,1.563429298,-1.563429298
1920,1.66571001,-1.66571001
2234,0.584001941,-0.584001941
968,1.412149096,-1.412149096
1525,0.859907588,-0.859907588
1802,1.007754243,-1.007754243
1340,1.712977727,-1.712977727
2082,0.21141428,-0.21141428
1252,1.167022428,-1.167022428
3608,1.870471542,-1.870471542
1217,1.337775373,-1.337775373
1656,1.165976249,-1.165976249
1224,1.061937724,-1.061937724
1593,0.890840066,-0.890840066
2727,1.000561984,-1.000561984
1479,1.652937141,-1.652937141
1431,1.133153046,-1.133153046
1709,0.247155159,-0.247155159
864,1.677244604,-1.677244604
1456,1.379762257,-1.379762257
1726,0.48505523,-0.48505523
3112,1.642073318,-1.642073318
2229,1.332608751,-1.332608751
1713,0.919561522,-0.919561522
1121,0.213308574,-0.213308574
1279,1.589640716,-1.589640716
1310,1.753082908,-1.753082908
848,0.72068444,-0.72068444
1284,1.61198595,-1.61198595
1442,1.514027991,-1.514027991
1696,1.418525587,-1.418525587
1100,1.349304178,-1.349304178
2062,1.10489064,-1.10489064
1092,1.998447231,-1.998447231
864,1.560763097,-1.560763097
1212,0.773055302,-0.773055302
1852,0.818017974,-0.818017974
990,1.312482957,-1.312482957
1392,1.136108473,-1.136108473
1236,1.684068027,-1.684068027
1436,0.210404787,-0.210404787
1328,1.120475495,-1.120475495
1954,1.972289418,-1.972289418
1248,0.918493565,-0.918493565
1498,0.563961949,-0.563961949
2267,0.063529145,-0.063529145
1552,1.401316159,-1.401316159
864,1.2291056,-1.2291056
2392,0.948151706,-0.948151706
1302,1.594071605,-1.594071605
2520,1.119995476,-1.119995476
987,1.042680321,-1.042680321
912,1.18317207,-1.18317207
1555,0.631427359,-0.631427359
1194,1.340875218,-1.340875218
2794,1.094193796,-1.094193796
987,1.134577008,-1.134577008
894,1.051462691,-1.051462691
1960,0.655541527,-0.655541527
987,1.348986917,-1.348986917
1414,0.66369326,-0.66369326
1744,1.448283931,-1.448283931
1694,0.779495209,-0.779495209
1487,1.932211151,-1.932211151
1566,0.265459199,-0.265459199
866,1.991364362,-1.991364362
1440,1.87848121,-1.87848121
1217,1.904630275,-1.904630275
2110,1.132726921,-1.132726921
1872,1.29683448,-1.29683448
1928,1.633572705,-1.633572705
1375,1.37377789,-1.37377789
1668,0.584301122,-0.584301122
2144,1.237884424,-1.237884424
1306,1.603453362,-1.603453362
1625,0.295765138,-0.295765138
1640,0.580043085,-0.580043085
1302,1.938422736,-1.938422736
1314,1.943071953,-1.943071953
2291,1.998687865,-1.998687865
1728,0.967909508,-0.967909508
1604,0.876467708,-0.876467708
1792,0.420304549,-0.420304549
882,1.162799095,-1.162799095
1382,1.807290441,-1.807290441
2574,0.549833404,-0.549833404
1212,1.455095315,-1.455095315
1316,1.302544896,-1.302544896
764,1.784596093,-1.784596093
1422,1.703398078,-1.703398078
1511,1.069985377,-1.069985377
2192,1.955791424,-1.955791424
778,1.753493363,-1.753493363
1113,1.157255376,-1.157255376
1939,0.316966686,-0.316966686
1363,1.261250653,-1.261250653
2270,1.231904484,-1.231904484
1632,1.330199447,-1.330199447
816,1.646301243,-1.646301243
1548,1.795111371,-1.795111371
1560,0.233849073,-0.233849073
864,1.423712086,-1.423712086
2121,0.897310655,-0.897310655
2022,1.5253231,-1.5253231
1982,1.480305275,-1.480305275
1262,0.502439183,-0.502439183
1314,0.39177957,-0.39177957
1468,0.827385413,-0.827385413
1575,1.08335861,-1.08335861
1250,0.491113993,-0.491113993
1734,1.496130589,-1.496130589
858,1.162000252,-1.162000252
900,1.785522406,-1.785522406
1396,1.836692342,-1.836692342
1919,0.951102012,-0.951102012
1716,1.868205771,-1.868205771
1716,1.652511418,-1.652511418
2263,1.522081398,-1.522081398
1644,1.993110303,-1.993110303
1003,1.689093766,-1.689093766
1558,1.302619484,-1.302619484
1950,1.234429775,-1.234429775
1743,1.242388599,-1.242388599
1152,1.832820262,-1.832820262
1336,1.654507504,-1.654507504
2452,1.542111945,-1.542111945
1541,0.597727181,-0.597727181
894,1.464077497,-1.464077497
3493,1.294529929,-1.294529929
2000,0.509463418,-0.509463418
2243,1.675053524,-1.675053524
1406,1.465980737,-1.465980737
861,1.920567058,-1.920567058
1944,0.640581667,-0.640581667
1501,1.555607959,-1.555607959
972,1.906875135,-1.906875135
1118,1.318588958,-1.318588958
2036,1.965795385,-1.965795385
1641,1.486292087,-1.486292087
1432,0.66938637,-0.66938637
2353,1.473063919,-1.473063919
1959,0.148046791,-0.148046791
2646,1.833627773,-1.833627773
1472,1.669646164,-1.669646164
2596,0.636918688,-0.636918688
2468,0.235361187,-0.235361187
2730,1.735977269,-1.735977269
1163,1.609301173,-1.609301173
2978,1.303585337,-1.303585337
803,1.874681751,-1.874681751
1719,1.9720893,-1.9720893
1383,1.321434764,-1.321434764
2134,1.014705763,-1.014705763
1192,1.538124443,-1.538124443
1728,1.318992231,-1.318992231
1056,1.926560129,-1.926560129
1629,0.799069798,-0.799069798
1358,0.51863228,-0.51863228
1638,1.064331491,-1.064331491
1786,1.982496191,-1.982496191
1922,0.207690522,-0.207690522
1536,0.076096006,-0.076096006
1621,1.275237729,-1.275237729
1215,1.340334998,-1.340334998
1908,0.111472448,-0.111472448
841,1.572313012,-1.572313012
1040,1.335797017,-1.335797017
1684,0.362603212,-0.362603212
1112,1.685551943,-1.685551943
1577,1.319802419,-1.319802419
958,1.744382591,-1.744382591
1478,1.868562651,-1.868562651
1626,0.123801528,-0.123801528
2728,0.797552772,-0.797552772
1869,0.659066613,-0.659066613
1453,1.970163894,-1.970163894
1111,1.380459027,-1.380459027
720,1.941798295,-1.941798295
1595,1.919222885,-1.919222885
1200,1.148632076,-1.148632076
1167,1.83555559,-1.83555559
1142,1.351371262,-1.351371262
1352,1.243485765,-1.243485765
1924,1.530550999,-1.530550999
912,1.49327202,-1.49327202
1505,1.631549949,-1.631549949
1922,0.284967414,-0.284967414
987,1.016110525,-1.016110525
1574,1.499063701,-1.499063701
1344,1.852074027,-1.852074027
1394,1.149823356,-1.149823356
1431,1.862247319,-1.862247319
1268,1.141265168,-1.141265168
1287,1.525636065,-1.525636065
1664,0.025051372,-0.025051372
1588,1.313717401,-1.313717401
752,1.516076112,-1.516076112
1319,1.011893257,-1.011893257
1928,0.315904328,-0.315904328
904,1.052275119,-1.052275119
914,1.326950252,-1.326950252
2466,0.508613457,-0.508613457
1856,0.213876263,-0.213876263
1800,0.252461858,-0.252461858
1691,1.155839539,-1.155839539
1301,0.014591724,-0.014591724
1797,0.453413043,-0.453413043
784,1.138960665,-1.138960665
1953,1.219355159,-1.219355159
1269,0.11498276,-0.11498276
1184,1.337375514,-1.337375514
1125,1.68699622,-1.68699622
1479,1.544457545,-1.544457545
2332,0.755447446,-0.755447446
1367,1.394767914,-1.394767914
1961,0.539969514,-0.539969514
882,1.643752166,-1.643752166
788,1.535951269,-1.535951269
1034,1.963738072,-1.963738072
1144,1.278225849,-1.278225849
894,1.676965742,-1.676965742
1812,1.638466164,-1.638466164
1077,1.175040459,-1.175040459
1550,0.087714713,-0.087714713
1288,1.826056354,-1.826056354
1310,0.984943403,-0.984943403
672,1.953917493,-1.953917493
2263,1.298161181,-1.298161181
1572,1.802740425,-1.802740425
1620,1.994314208,-1.994314208
1639,1.228737259,-1.228737259
1680,1.788606947,-1.788606947
2172,0.591552444,-0.591552444
2078,0.521489129,-0.521489129
1276,1.304821807,-1.304821807
1056,1.411743187,-1.411743187
1478,0.421224637,-0.421224637
1028,1.011320229,-1.011320229
2097,1.593762974,-1.593762974
1340,0.480119634,-0.480119634
1400,1.410254528,-1.410254528
2624,1.84505944,-1.84505944
1134,1.409614414,-1.409614414
1056,1.076324911,-1.076324911
1344,1.850412853,-1.850412853
1602,1.299279182,-1.299279182
988,1.047064783,-1.047064783
2630,1.010774889,-1.010774889
1196,1.412950329,-1.412950329
1389,1.853240102,-1.853240102
1644,1.46115129,-1.46115129
907,1.59130926,-1.59130926
1208,0.222213212,-0.222213212
1412,1.613138236,-1.613138236
987,1.516992418,-1.516992418
1198,1.786349963,-1.786349963
1365,1.488345669,-1.488345669
1604,1.443985935,-1.443985935
630,1.093228763,-1.093228763
1661,1.364215649,-1.364215649
1118,1.194453383,-1.194453383
904,1.301269061,-1.301269061
694,1.995429362,-1.995429362
1196,1.864765659,-1.864765659
2402,0.880005011,-0.880005011
1440,1.650931313,-1.650931313
1573,1.081468054,-1.081468054
1258,0.066437545,-0.066437545
1908,1.167618518,-1.167618518
1689,1.320419839,-1.320419839
1888,1.812260133,-1.812260133
1886,1.087750477,-1.087750477
1376,1.34920986,-1.34920986
1183,1.464558069,-1.464558069
813,1.038011661,-1.038011661
1533,1.402184602,-1.402184602
1756,1.69032004,-1.69032004
1590,0.126689804,-0.126689804
1728,1.182373255,-1.182373255
1242,1.040227476,-1.040227476
1344,1.204430484,-1.204430484
1663,1.373193141,-1.373193141
1666,1.649492954,-1.649492954
1203,1.459079088,-1.459079088
1935,0.914620098,-0.914620098
1135,1.943124971,-1.943124971
864,1.726483273,-1.726483273
1660,1.088015062,-1.088015062
1040,1.484911576,-1.484911576
1414,0.266357282,-0.266357282
1277,1.558418653,-1.558418653
1644,1.39484482,-1.39484482
1634,0.070046807,-0.070046807
1710,1.312745337,-1.312745337
1502,1.287754926,-1.287754926
1969,1.055941533,-1.055941533
1072,0.900383694,-0.900383694
1976,0.654871136,-0.654871136
1652,0.667543165,-0.667543165
970,1.780105468,-1.780105468
1493,1.329612457,-1.329612457
2643,0.885580495,-0.885580495
1718,0.695281678,-0.695281678
1131,1.176072312,-1.176072312
1850,0.079227985,-0.079227985
1792,0.097820803,-0.097820803
1826,1.684414006,-1.684414006
1216,1.120125269,-1.120125269
999,1.135341039,-1.135341039
1113,1.481085613,-1.481085613
1073,1.935684294,-1.935684294
1484,1.437842185,-1.437842185
2414,1.689557516,-1.689557516
630,1.101778109,-1.101778109
1304,1.832581064,-1.832581064
1578,1.43497205,-1.43497205
1456,0.495494198,-0.495494198
1269,1.732453522,-1.732453522
886,1.674026964,-1.674026964
720,1.536861041,-1.536861041
3228,1.389864884,-1.389864884
1820,1.178618016,-1.178618016
899,1.009100939,-1.009100939
912,1.882872006,-1.882872006
1218,1.391806239,-1.391806239
1768,0.491430669,-0.491430669
1214,1.179632753,-1.179632753
1801,1.403651868,-1.403651868
1322,1.170062544,-1.170062544
1960,1.612744886,-1.612744886
1911,1.386379151,-1.386379151
1218,0.139137105,-0.139137105
1378,1.531741833,-1.531741833
1041,1.205549531,-1.205549531
1363,1.046735092,-1.046735092
1368,0.433719787,-0.433719787
864,1.965319248,-1.965319248
1080,1.852836197,-1.852836197
789,1.680895213,-1.680895213
2020,0.648450708,-0.648450708
2119,1.186149003,-1.186149003
2344,1.736214731,-1.736214731
1796,1.316641644,-1.316641644
2080,1.580089216,-1.580089216
1294,1.102135024,-1.102135024
1244,1.092249043,-1.092249043
1664,1.779763415,-1.779763415
4676,0.160822602,-0.160822602
2398,1.716538163,-1.716538163
1266,0.074638562,-0.074638562
928,1.43611762,-1.43611762
2713,0.935731238,-0.935731238
605,1.31694489,-1.31694489
2515,1.185723832,-1.185723832
1509,1.287388764,-1.287388764
1362,1.210583962,-1.210583962
827,1.779578279,-1.779578279
334,1.024024887,-1.024024887
1414,0.236189158,-0.236189158
1347,1.025229726,-1.025229726
1724,1.467081437,-1.467081437
864,1.935621584,-1.935621584
1159,1.006697806,-1.006697806
1601,0.335083965,-0.335083965
1838,0.199518292,-0.199518292
2285,0.114504993,-0.114504993
1680,1.425193571,-1.425193571
767,1.04077792,-1.04077792
1496,0.853451842,-0.853451842
2183,1.639486013,-1.639486013
1635,1.6646564,-1.6646564
768,1.942892815,-1.942892815
825,1.688952343,-1.688952343
2094,0.123341957,-0.123341957
1069,1.302660775,-1.302660775
928,1.895345804,-1.895345804
1717,0.867742533,-0.867742533
1126,1.675555914,-1.675555914
2046,0.999096007,-0.999096007
1048,1.913094599,-1.913094599
1092,1.746974485,-1.746974485
1336,1.460157912,-1.460157912
1446,1.479252875,-1.479252875
1557,0.759456535,-0.759456535
1392,1.802104446,-1.802104446
1389,1.828410779,-1.828410779
996,1.213250849,-1.213250849
1674,1.200272108,-1.200272108
2295,1.150690915,-1.150690915
1647,1.568248124,-1.568248124
2504,0.329182576,-0.329182576
1535,0.187835488,-0.187835488
2132,1.864367193,-1.864367193
943,1.007963457,-1.007963457
1728,1.178887558,-1.178887558
864,1.409630551,-1.409630551
1692,0.351205205,-0.351205205
1430,0.481369587,-0.481369587
1109,1.826171013,-1.826171013
1216,1.228253468,-1.228253468
1477,1.075170665,-1.075170665
1320,1.613986518,-1.613986518
1392,0.347922305,-0.347922305
1795,1.65982947,-1.65982947
1429,1.544046856,-1.544046856
2042,0.032002827,-0.032002827
816,1.760355399,-1.760355399
2775,1.581709324,-1.581709324
1573,1.969092353,-1.969092353
2028,0.265851764,-0.265851764
838,1.625185738,-1.625185738
860,1.599054008,-1.599054008
1473,1.158115232,-1.158115232
935,1.588876447,-1.588876447
1582,0.305800679,-0.305800679
2296,0.616605831,-0.616605831
816,1.258262842,-1.258262842
848,0.893729975,-0.893729975
924,1.721623192,-1.721623192
1826,0.976245811,-0.976245811
1368,1.326323567,-1.326323567
1402,0.805039663,-0.805039663
1647,1.873980096,-1.873980096
1556,1.423771593,-1.423771593
1904,0.674417093,-0.674417093
1375,1.719267871,-1.719267871
1915,1.029018086,-1.029018086
1200,0.654794399,-0.654794399
1494,0.38254165,-0.38254165
1986,1.122431838,-1.122431838
1040,1.108386393,-1.108386393
2008,1.994310584,-1.994310584
3194,1.089674448,-1.089674448
1029,1.87186633,-1.87186633
2153,0.040959375,-0.040959375
1032,1.797151954,-1.797151954
1872,0.98662508,-0.98662508
1120,0.36060728,-0.36060728
630,1.439629683,-1.439629683
1054,1.133752308,-1.133752308
1509,0.857729026,-0.857729026
832,1.985671501,-1.985671501
1828,0.921707934,-0.921707934
2262,0.096981573,-0.096981573
864,1.549777275,-1.549777275
2614,1.480112789,-1.480112789
980,1.40601466,-1.40601466
1512,0.760082703,-0.760082703
1790,1.933540407,-1.933540407
1116,1.430888956,-1.430888956
1422,1.370357796,-1.370357796
1520,1.613372203,-1.613372203
2080,1.9059263,-1.9059263
1350,1.741053203,-1.741053203
1750,1.519989249,-1.519989249
1554,0.002864202,-0.002864202
1411,1.29556892,-1.29556892
1056,1.418635379,-1.418635379
1056,1.206260317,-1.206260317
3395,1.126024904,-1.126024904
800,1.209039879,-1.209039879
1387,1.233789356,-1.233789356
796,1.266915358,-1.266915358
1567,0.38676775,-0.38676775
1518,0.16549071,-0.16549071
1929,0.028711806,-0.028711806
2704,1.537360336,-1.537360336
1620,1.586093167,-1.586093167
1766,0.4219648,-0.4219648
981,1.394688733,-1.394688733
1048,1.596771305,-1.596771305
1094,1.62859859,-1.62859859
1839,1.738738528,-1.738738528
630,1.622778447,-1.622778447
1665,0.902271486,-0.902271486
1510,1.594144191,-1.594144191
1716,1.586845086,-1.586845086
1469,1.804229483,-1.804229483
2113,1.486220263,-1.486220263
1092,1.440407203,-1.440407203
1053,1.564258273,-1.564258273
1502,1.502108761,-1.502108761
1458,1.231343879,-1.231343879
1486,1.905432432,-1.905432432
1935,1.300731291,-1.300731291
2448,1.978368785,-1.978368785
1392,1.286971963,-1.286971963
1181,1.403657455,-1.403657455
2097,0.25668847,-0.25668847
1936,0.401119362,-0.401119362
2380,1.696789728,-1.696789728
1679,1.059962487,-1.059962487
1437,1.712371872,-1.712371872
1180,1.526007017,-1.526007017
1476,0.030177437,-0.030177437
1369,1.53504234,-1.53504234
1208,1.992415952,-1.992415952
1839,1.608032325,-1.608032325
1136,1.443047048,-1.443047048
1441,1.030955068,-1.030955068
1774,1.117054361,-1.117054361
792,1.685348872,-1.685348872
2046,0.705502039,-0.705502039
988,1.934655094,-1.934655094
923,1.048681966,-1.048681966
1520,1.814350748,-1.814350748
1291,1.505851939,-1.505851939
1668,0.418117303,-0.418117303
1839,1.630241057,-1.630241057
2090,1.637665773,-1.637665773
1761,0.546149994,-0.546149994
1102,0.297990419,-0.297990419
1419,0.931112922,-0.931112922
1362,0.484011228,-0.484011228
848,0.11033441,-0.11033441
4316,1.244721348,-1.244721348
2519,1.093896056,-1.093896056
1073,1.113499104,-1.113499104
1539,1.893299965,-1.893299965
1137,1.443626346,-1.443626346
616,1.133136061,-1.133136061
1148,1.554436782,-1.554436782
894,1.617545523,-1.617545523
1391,0.22317987,-0.22317987
1800,0.483168253,-0.483168253
1164,1.592103141,-1.592103141
2576,0.196467152,-0.196467152
1812,1.324565956,-1.324565956
1484,0.113154294,-0.113154294
1092,1.824456504,-1.824456504
1824,1.150152062,-1.150152062
1324,0.431366714,-0.431366714
1456,0.74493289,-0.74493289
904,1.653461485,-1.653461485
729,1.771088088,-1.771088088
1178,1.286572007,-1.286572007
1228,1.302426407,-1.302426407
960,1.654929627,-1.654929627
1479,1.318853745,-1.318853745
1350,1.7520583,-1.7520583
2554,1.330502966,-1.330502966
1178,1.159966769,-1.159966769
2418,1.420083629,-1.420083629
971,1.086262272,-1.086262272
1742,1.473061928,-1.473061928
848,0.195294803,-0.195294803
864,1.239538327,-1.239538327
1470,1.796078326,-1.796078326
1698,0.442511807,-0.442511807
864,1.515081197,-1.515081197
1680,1.875272808,-1.875272808
1232,0.260604409,-0.260604409
1776,1.603065025,-1.603065025
